,首次触点,末次触点,线性归因,时间衰减,位置归因,马尔可夫链,Shapley值
affiliate,2100.0,0.0,460.0,156.64494189063868,840.0,4064.285714285714,460.0
content_marketing,1200.0,3600.0,5022.619047619048,5575.5170949126,3405.6666666666665,4064.285714285714,5227.5
display,2200.0,0.0,550.0,223.37991300141397,880.0,4064.285714285714,550.0
email,7200.0,5500.0,6915.952380952381,6902.98385170976,6445.666666666668,4064.285714285714,7310.833333333333
organic_search,6400.0,0.0,1533.3333333333333,609.0131157380324,2680.0,4064.285714285714,1896.6666666666667
paid_search,5950.0,11800.0,7700.952380952381,8726.809530192917,8363.0,4064.285714285714,7344.166666666667
social_media,3400.0,7550.0,6267.142857142857,6255.651552554642,5835.666666666667,4064.285714285714,5660.833333333333
