customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,segment,cluster,rank
5f87c05477db2d22c63b718299c9c03e,276,1,2759.88,2,2,4,8,Loyal_Customers,3,61
3f083b9f62e687be8d84684c7d54c8db,511,1,2751.24,1,1,4,6,Potential_Customers,3,62
08dc68ad9ab343289844fa36f6963b8f,270,1,2734.66,2,1,4,7,Potential_Customers,3,63
19365ad6a18ccf1baf6eb71c30651096,437,1,2734.11,1,1,4,6,Potential_Customers,3,64
695476b5848d64ba0875324c88390206,251,1,2733.6299999999997,2,2,4,8,Loyal_Customers,3,65
2e0339ff984d6f41f11dfdbc7c93dcda,258,1,2732.06,2,1,4,7,Potential_Customers,3,66
f08306b95370e8d5f0d97b71229284b6,31,1,2713.3599999999997,4,4,4,12,VIP_Clients,3,67
f2c743697f9b2ff2902df23a16582d80,17,1,2713.3599999999997,4,4,4,12,VIP_Clients,3,68
b177ef267a4377b77e0620d1a7f08dce,450,1,2681.29,1,3,4,8,Loyal_Customers,3,69
b1c28f9b72d07054b64d09e487b5021c,454,1,2681.29,1,3,4,8,Loyal_Customers,3,70
279ca766397588e704abddd56d2dc131,101,1,2647.76,4,1,4,9,Loyal_Customers,3,71
7e95832184f874c220b8ebffa750837d,110,1,2638.64,4,2,4,10,VIP_Clients,3,72
1ca6f90a61cf75c002a0d690261a0e4c,431,1,2627.0899999999997,1,1,4,6,Potential_Customers,3,73
0c5292f5e3690805390efddf53935915,546,1,2626.07,1,1,4,6,Potential_Customers,3,74
349509b216bd5ec11c5fae929fd13595,515,1,2621.29,1,1,4,6,Potential_Customers,3,75
1fb8ff22dad231d26fc7ecde2e2dc27a,113,1,2616.0,4,1,4,9,Loyal_Customers,3,76
53e644c7c57416bdaf0409e656ee8b0a,90,1,2607.09,4,2,4,10,VIP_Clients,3,77
e9859fbdff7d26c36c228cf60796e844,510,1,2606.01,1,4,4,9,Loyal_Customers,3,78
9c5d7103954595e173781530b10d02e4,167,1,2590.6099999999997,3,3,4,10,VIP_Clients,3,79
35698a7b9ae42369b9f45a53000f85f3,529,1,2574.38,1,1,4,6,Potential_Customers,3,80
9537f2addba8448428a3fd1a1add0656,103,1,2564.65,4,3,4,11,VIP_Clients,3,81
3696afd6fae4a1f36fcbc3db8f3d6640,21,1,2512.5299999999997,4,1,4,9,Loyal_Customers,3,82
cb3724d7cb7db46b65cfd1e7c16c0df5,397,1,2487.2400000000002,1,4,4,9,Loyal_Customers,3,83
6361b9f3b85d41860bfa28292e052bde,385,1,2480.58,1,2,4,7,Potential_Customers,3,84
233d97d412c7f4bb8d857ec922c0317f,306,1,2467.33,2,1,4,7,Potential_Customers,3,85
b9da524b08224eaff1bf76ef4d4299ac,97,1,2467.17,4,3,4,11,VIP_Clients,3,86
68f692d1f39843a16d9319a7306b6b10,127,1,2457.44,3,2,4,9,Loyal_Customers,3,87
548692bdcbd6e3683ff306ac9d8418d6,20,1,2455.12,4,2,4,10,VIP_Clients,3,88
cdecc5d1f7fc375b1138e8b5f496fd69,272,1,2452.12,2,4,4,10,VIP_Clients,3,89
177ba55869da8001fcca079af0b85832,32,1,2438.51,4,1,4,9,Loyal_Customers,3,90
b76816b61d8043a98db57875437da6b5,279,1,2429.68,2,3,4,9,Loyal_Customers,3,91
30ab7e538292e6130a456c371778d595,278,1,2416.0,2,1,4,7,Potential_Customers,3,92
9125dbd39c45287dfab9207f3cb15075,134,1,2389.7799999999997,3,3,4,10,VIP_Clients,3,93
df358a91acde222cf3330baac5cecfe7,183,1,2384.5,3,4,4,11,VIP_Clients,3,94
722af1f4b57a5d7df147069ad64c8361,282,1,2338.48,2,2,4,8,Loyal_Customers,3,95
e683dddabd8f5c3ad3708a3364e932f8,10,1,2337.4,4,4,4,12,VIP_Clients,3,96
6f18119032437dd6fa1c7df272d2d9e6,81,1,2333.97,4,2,4,10,VIP_Clients,3,97
f767e7437c3aa2c044523c0a6712380b,4,1,2328.4,4,4,4,12,VIP_Clients,3,98
d1447849bd806efd6282988355588728,71,1,2325.22,4,4,4,12,VIP_Clients,3,99
72e0997496700af1df41815ffced78e6,516,1,2324.99,1,2,4,7,Potential_Customers,3,100
9cf0a858f5f153406bc333860eb23e22,13,1,2323.25,4,3,4,11,VIP_Clients,3,101
6b66c3c14df21f07ea7f57fc8af6517f,15,1,2322.32,4,2,4,10,VIP_Clients,3,102
b7984401569369a9695e7d3f5c66c4d1,251,1,2315.83,2,3,4,9,Loyal_Customers,3,103
2af96708b3cb29cb4e21040fc9432988,114,1,2314.82,4,1,4,9,Loyal_Customers,3,104
b18d47c9116d2a106291aea1abfd3f04,34,1,2304.68,4,3,4,11,VIP_Clients,3,105
174156b68563868e1ed48408117d6df4,480,1,2288.31,1,1,4,6,Potential_Customers,3,106
a1a52dda6ac52aee936ad06712027b83,181,1,2276.1,3,3,4,10,VIP_Clients,3,107
f4db56f354c71370b4d5dbd25c78b248,381,1,2269.98,1,4,4,9,Loyal_Customers,3,108
1674724f5fe22d2cf3420bb5f2511c9a,44,1,2267.28,4,1,4,9,Loyal_Customers,3,109
06e107f212576eccb2e2adc7781c9705,49,1,2267.18,4,1,4,9,Loyal_Customers,3,110
10e925f935d8bfe0a9edf39378996fd7,129,1,2264.9,3,1,4,8,Loyal_Customers,3,111
bd5d39761aa56689a265d95d8d32b8be,372,1,2262.8,1,3,4,8,Loyal_Customers,3,112
10066d6eb46dff8e73177532e722e60a,34,1,2252.66,4,1,4,9,Loyal_Customers,3,113
8cb5d5e180e4dbdffdc4af261b618790,146,1,2241.64,3,3,4,10,VIP_Clients,3,114
e7d6802668de6e74d0d6c56565bf2a24,331,1,2234.66,2,4,4,10,VIP_Clients,3,115
7dcff1457b8b742e76bd5eec155d2ba9,15,1,2225.69,4,2,4,10,VIP_Clients,3,116
92a24fa199710ba33bab157e838a86e7,79,1,2223.12,4,3,4,11,VIP_Clients,3,117
244c28a20f4b7a3ea164364d7a3432af,121,1,2220.32,3,1,4,8,Loyal_Customers,3,118
c3ab6358d2556844d38ed5dbab0b41ce,577,1,2217.99,1,4,4,9,Loyal_Customers,3,119
038040c89822d9d8f9899972c5673ef1,116,1,2213.22,4,1,4,9,Loyal_Customers,3,120
